;X1;X2;X3;X4;X5;X6;X7;X8;X9;X10;X11;X12;X13;X14;X15;X16;X17;X18;X19;X20;X21;X22;X23;
158;;;1;;1;1;;1;;;1;1;1;1;1;1;1;1;1;1;1;1;1;17
159;1;;;;;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;13
160;;;;;;;;;;;;;;;;;;;;;;;;
161;;;;;;;;;;;;;;;;;;;;;;;;
162;;;;;;;;;;;;;;;;;;;;;;;;
163;;;;;;;;;;;;;;;;;;;;;;;;
164;;;;;;;;;;;;;;;;;;;;;;;;
165;;;;;;;;;;;;;;;;;;;;;;;;
166;1;;;;;;;;1;;;1;1;1;1;1;1;1;1;;1;1;1;13
167;;;;;;;;;;;;;;;;;;;;;;;;
168;;;;;;;;;;;;;;;;;;;;;;;;
169;;;;;;;;;;;;;;;;;;;;;;;;
170;1;1;1;;1;;;;;;;;;;1;1;;;;1;1;;;8
171;;;;;;;;;;;;;;;;;;;;;;;;
172;;;;;;;;;;;;;;;;;;;;;;;;
173;1;;;;1;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;14
174;;;;;;;;;;;;;;;;;;;;;;;;
175;;;;;;;;;;;;;;;;;;;;;;;;
176;1;;1;;1;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;19
177;1;1;;;1;1;1;1;1;;;1;1;1;1;1;1;1;1;1;1;1;1;19
178;;;;;;;;;;;;;;;;;;;;;;;;
179;;;;;;;;;;;;;;;;;;;;;;;;
180;1;1;;;1;1;1;1;;;1;1;1;1;1;1;1;1;1;1;1;1;1;19
181;1;;1;;1;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;15
182;;;;;;;;;;;;;;;;;;;;;;;;
183;;;;;;;;;;;;;;;;;;;;;;;;
184;;;;;;;;;;;;;;;;;;;;;;;;
185;1;;1;;1;1;;1;1;;1;1;1;1;1;1;1;1;1;1;;1;;17
186;;;;;;;;;;;;;;;;;;;;;;;;
187;1;;;;;1;;1;;;;1;1;1;1;1;1;1;1;1;1;1;1;15
188;;;;;;;;;;;;;;;;;;;;;;;;
189;;;;;;;;;;;;;;;;;;;;;;;;
190;1;;1;1;1;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;16
191;;;;;;;;;;;;;;;;;;;;;;;;
192;;;;;;;;;;;;;;;;;;;;;;;;
193;;;;;;;;;;;;;;;;;;;;;;;;
194;1;;;;1;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;15
195;1;;;;1;1;;;1;1;1;1;1;1;1;1;1;1;1;1;;1;;16
196;;;;;;;;;;;;;;;;;;;;;;;;
197;;;;;;;;;;;;;;;;;;;;;;;;
198;1;;;1;1;;;1;;;1;1;1;1;1;1;1;1;1;1;1;1;1;17
199;;;;;;;;;;;;;;;;;;;;;;;;
200;1;;1;;1;1;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;19
201;;;;;;;;;;;;;;;;;;;;;;;;
202;;;;;;;;;;;;;;;;;;;;;;;;
203;;;;;;;;;;;;;;;;;;;;;;;;
204;1;;1;;1;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;15
205;;;;;;;;;;;;;;;;;;;;;;;;
206;;;;;;;;;;;;;;;;;;;;;;;;
207;1;;;;1;1;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;15
208;1;1;1;1;1;1;;1;;1;;1;1;1;1;1;1;1;1;1;1;;1;19
209;1;;1;1;1;1;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;;19
210;;;;;;;;;;;;;;;;;;;;;;;;
211;;;;;;;;;;;;;;;;;;;;;;;;
212;;;;;;;;;;;;;;;;;;;;;;;;
213;;;;;;;;;;;;;;;;;;;;;;;;
214;;;;;;;;;;;;;;;;;;;;;;;;
