;Attribute1;Attribute2;Attribute3;Attribute4;Attribute5;Attribute6;Attribute7;Attribute8;Attribute9;Attribute10;Attribute11;Attribute12;Attribute13;Attribute14;Attribute15;Attribute16;Attribute17;Attribute18;Attribute19;Attribute20;hamming
150;;;;;;;;;;;;;;;;;;;;;
151;;;;;;;;;;;;;;;;;;;;;
152;;;;;;;;;;;;;;;;;;;;;
153;;;;;;;;;;;;;;;;;;;;;
154;1;1;;1;1;;1;;1;;1;;1;;1;;1;;;;10
155;;;;;;;;;;;;;;;;;;;;;
156;;;;;;;;;;;;;;;;;;;;;
157;;;;;;;;;;;;;;;;;;;;;
158;;;;;;;;;;;;;;;;;;;;;
159;1;1;;1;1;1;1;1;1;;;;1;;;;1;;;;10
160;;;;;;;;;;;;;;;;;;;;;
161;;;;;;;;;;;;;;;;;;;;;
162;;;;;;;;;;;;;;;;;;;;;
163;;1;;;1;;1;1;;;;;1;;;;;;;;5
164;;;;;;;;;;;;;;;;;;;;;
165;;;;;;;;;;;;;;;;;;;;;
166;;;;;;;;;;;;;;;;;;;;;
167;;1;;1;1;1;1;;1;;;1;1;1;;1;1;;1;;12
168;;;;;;;;;;;;;;;;;;;;;
169;;1;;1;1;1;1;;1;;1;1;;;1;1;1;;1;;12
170;;;;;;;;;;;;;;;;;;;;;
171;1;1;1;1;1;1;;1;;1;;1;1;;1;;1;1;1;;14
172;;;;;;;;;;;;;;;;;;;;;
173;1;1;1;1;1;1;1;;1;;;;1;;;;1;;1;;11
174;;;;;;;;;;;;;;;;;;;;;
175;;;;;;;;;;;;;;;;;;;;;
176;;;;;;;;;;;;;;;;;;;;;
177;;;;;;;;;;;;;;;;;;;;;
178;1;1;;1;1;1;1;;;;;;1;;;;;;;;7
179;;;;;;;;;;;;;;;;;;;;;
180;;;;;;;;;;;;;;;;;;;;;
181;;;;;;;;;;;;;;;;;;;;;
182;1;1;;;1;1;;1;;;1;;1;1;;;;;;;8
183;1;1;;1;1;1;;1;1;;;;1;1;;1;;;1;;11
184;1;1;1;1;1;;1;1;;;;1;1;1;1;1;1;;;;13
185;;;;;;;;;;;;;;;;;;;;;
186;;;;1;1;1;1;1;;;1;;1;1;1;;1;;;;10
187;1;1;;1;1;1;1;;;;;1;1;;1;;;1;;;10
188;1;1;1;1;1;;1;;1;;1;1;1;1;1;;1;;;;13
189;;;;;;;;;;;;;;;;;;;;;
190;;;;;;;;;;;;;;;;;;;;;
191;1;;;1;1;1;1;1;;;1;;1;1;1;;;;;;10
192;;;;;;;;;;;;;;;;;;;;;
193;;;;;;;;;;;;;;;;;;;;;
194;1;1;1;1;1;;;1;1;;1;1;1;;1;;;;;;11
195;;;;;;;;;;;;;;;;;;;;;
196;;;;;;;;;;;;;;;;;;;;;
197;1;1;;1;1;1;;;;;1;1;1;;;;1;1;;;10
198;;;;;;;;;;;;;;;;;;;;;
199;;;;;;;;;;;;;;;;;;;;;
total;58;68;43;61;80;41;51;45;39;13;42;49;78;26;34;31;35;12;24;0;10,375
