;Attribute1;Attribute2;Attribute3;Attribute4;Attribute5;Attribute6;Attribute7;Attribute8;Attribute9;Attribute10;Attribute11;Attribute12;Attribute13;Attribute14;Attribute15;Attribute16;Attribute17;Attribute18;Attribute19;Attribute20
139;1;0,975553336;1;1;0,109541095;0;0;0;1;0;2,686399606;1;0,456446163;1;1;1,690308509;0;0;0;0
140;1;0,243888334;0;1;0,867006113;0;1;1,807181779;1;1;0,895466535;0;0,73031386;1;0;1,690308509;1;0;0;0
141;0;1,951106671;0;1;0,059598346;0;1;0,90359089;1;0;0;1;0,182578465;0;1;0;1;0;0;0
142;0;0,975553336;0;1;0,642596697;0;1;0,90359089;1;1;0,895466535;0;0,091289233;1;1;1,690308509;0;0;0;0
143;1;0,812961113;0;0;0,108209288;0;0;0,90359089;0;1;0,895466535;0;1,551916953;1;0;0;1;0;0;0
144;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
145;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
146;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
147;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
148;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
149;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
150;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
151;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
152;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
153;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
154;1;0,731665002;0;1;0,157819085;0;1;0;1;0;2,686399606;0;0,456446163;0;1;0;1;0;0;0
155;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
156;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
157;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
158;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
159;1;3,170548341;0;1;1,173654588;1;1;2,710772669;1;0;0;0;0,182578465;0;0;0;1;0;0;0
160;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
161;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
162;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
163;0;0,487776668;0;0;0,788429522;0;1;0,90359089;0;0;0;0;0,182578465;0;0;0;0;0;0;0
164;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
165;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
166;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
167;0;2,926660007;0;1;1,927457138;1;1;0;1;0;0;1;2,282230813;1;0;1,690308509;1;0;1;0
168;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
169;0;1,463330004;0;1;0,99719021;1;1;0;1;0;1,790933071;1;0;0;1;1,690308509;1;0;1;0
170;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
171;1;0,081296111;1;1;0,351596949;1;0;1,807181779;0;1;0;1;0,821603093;0;1;0;1;2,523973287;1;0
172;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
173;1;0,325184445;1;1;0,16081565;1;1;0;1;0;0;0;1,186760023;0;0;0;1;0;1;0
174;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
175;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
176;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
177;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
